hap_class,hap_id
1,NLNI042202_1_avrpm17_cds
1,NLNI042203_1_avrpm17_cds
1,NLTX072301_1_avrpm17_cds
1,NLTX072302_1_avrpm17_cds
1,PLBA092305_1_avrpm17_cds
1,PLBI082201_1_avrpm17_cds
1,PLCZ072210_1_avrpm17_cds
1,PLCZ072212_1_avrpm17_cds
1,PLCZ072306_1_avrpm17_cds
1,PLKB092305_1_avrpm17_cds
1,PLKO082237_1_avrpm17_cds
1,PLRA082254_1_avrpm17_cds
1,PLRA082257_1_avrpm17_cds
1,PLRA082270_1_avrpm17_cds
1,PLRA092320_1_avrpm17_cds
1,PLRA092322_1_avrpm17_cds
1,PLSK092301_1_avrpm17_cds
1,PLSK092305_1_avrpm17_cds
1,PLSM082283_1_avrpm17_cds
1,PLSM082286_1_avrpm17_cds
1,PLSM092311_1_avrpm17_cds
1,POL_1_1_avrpm17_cds
1,POL_3_1_avrpm17_cds
1,ROGT052201_1_avrpm17_cds
1,SEAB072243_1_avrpm17_cds
1,SEAB072246_1_avrpm17_cds
1,SEUP072201_1_avrpm17_cds
1,SEUP072203_1_avrpm17_cds
1,TUR_1a_1_avrpm17_cds
1,TUR_1c_1_avrpm17_cds
1,UKCA042302_1_avrpm17_cds
1,UKCA042310_1_avrpm17_cds
1,UKCA042316_1_avrpm17_cds
1,UKCA042327_1_avrpm17_cds
1,UKCA092201_1_avrpm17_cds
1,UKCA092202_1_avrpm17_cds
1,UKCA092203_1_avrpm17_cds
1,UKCA092204_1_avrpm17_cds
1,UKCA092205_1_avrpm17_cds
2,CHE_07227_1_avrpm17_cds
2,CHE_96229_2_avrpm17_cds
2,CHE_97223_1_avrpm17_cds
2,CHZR062208_2_avrpm17_cds
2,CZKA042204_1_avrpm17_cds
2,CZPR052203_2_avrpm17_cds
2,CZUH042206_2_avrpm17_cds
2,DEBE032203_2_avrpm17_cds
2,DEHO062233_1_avrpm17_cds
2,ESCT052207_2_avrpm17_cds
2,FRA_ASOSAN_95_9_1_avrpm17_cds
2,FRBE052204_2_avrpm17_cds
2,FRCO042201_1_avrpm17_cds
2,FRMU052303_1_avrpm17_cds
2,FRSA042204_1_avrpm17_cds
2,FRSD062203_1_avrpm17_cds
2,NCSU_RU_03_22_2_avrpm17_cds
2,NCSU_RU_04_12_1_avrpm17_cds
2,NCSU_TR_03_01_2_avrpm17_cds
2,PLBA092301_2_avrpm17_cds
2,PLCZ072206_2_avrpm17_cds
2,PLSK082274_2_avrpm17_cds
2,SEUP072204_2_avrpm17_cds
3,CHE_07227_2_avrpm17_cds
3,CHE_96229_1_avrpm17_cds
3,CHE_97223_2_avrpm17_cds
3,CZKA042204_2_avrpm17_cds
3,CZPR052203_1_avrpm17_cds
3,CZUH042206_1_avrpm17_cds
3,DEBE032203_1_avrpm17_cds
3,DEHO062233_2_avrpm17_cds
3,ESCT052207_1_avrpm17_cds
3,FRA_ASOSAN_95_9_2_avrpm17_cds
3,FRCO042201_2_avrpm17_cds
3,FRMU052303_2_avrpm17_cds
3,FRSA042204_2_avrpm17_cds
3,FRSD062203_2_avrpm17_cds
3,LTKD062208_1_avrpm17_cds
3,NCSU_RU_03_22_1_avrpm17_cds
3,NCSU_RU_04_12_2_avrpm17_cds
3,PLBA092301_1_avrpm17_cds
3,PLCZ072206_1_avrpm17_cds
3,PLSK082274_1_avrpm17_cds
3,SEUP072204_1_avrpm17_cds
4,CHE_10001_1_avrpm17_cds
4,CZUH042204_2_avrpm17_cds
4,FRA_B_STONE_95_45_2_avrpm17_cds
4,ISR_215_2_avrpm17_cds
4,ISR_216_1_avrpm17_cds
4,ISR_50_1_avrpm17_cds
4,ITLI052301_2_avrpm17_cds
4,NCSU_EG_08_02_1_avrpm17_cds
4,NCSU_EG_08_06_1_avrpm17_cds
4,NCSU_RU_05_08_1_avrpm17_cds
4,NCSU_RU_05_19_2_avrpm17_cds
4,NCSU_TR_01_01_1_avrpm17_cds
4,NCSU_TR_01_08_1_avrpm17_cds
4,NCSU_TR_01_19_1_avrpm17_cds
4,NCSU_TR_02_01_1_avrpm17_cds
4,NCSU_TR_02_04_1_avrpm17_cds
4,NCSU_TR_02_09_1_avrpm17_cds
4,NCSU_TR_02_10_1_avrpm17_cds
4,NCSU_TR_03_13_1_avrpm17_cds
4,NCSU_TR_03_20_1_avrpm17_cds
4,NCSU_TR_05_07_1_avrpm17_cds
4,PLSK082271_1_avrpm17_cds
4,POL_6_1_avrpm17_cds
4,ROLV052206_2_avrpm17_cds
4,TRSA062307_2_avrpm17_cds
4,TRSA062309_1_avrpm17_cds
4,TUR_1b_2_avrpm17_cds
5,CHE_10001_2_avrpm17_cds
5,CZUH042202_1_avrpm17_cds
5,DEGO062303_2_avrpm17_cds
5,DEHO062211_2_avrpm17_cds
5,ESSA062301_2_avrpm17_cds
5,FRLO052302_1_avrpm17_cds
5,GBR_JIW11_2_avrpm17_cds
5,GBR_JIW48_1_avrpm17_cds
5,GRTH052303_1_avrpm17_cds
5,ITBO062202_1_avrpm17_cds
5,ITMA052208_1_avrpm17_cds
5,NCSU_TR_03_01_1_avrpm17_cds
5,NCSU_TR_03_11_1_avrpm17_cds
5,NCSU_TR_03_16_2_avrpm17_cds
5,NCSU_TR_04_05_2_avrpm17_cds
5,NCSU_TR_05_05_1_avrpm17_cds
5,NCSU_TR_06_15_1_avrpm17_cds
5,PLCZ072305_2_avrpm17_cds
5,PLSK082276_1_avrpm17_cds
5,POL_5_1_avrpm17_cds
5,PTOD042301_2_avrpm17_cds
5,ROLV052202_1_avrpm17_cds
5,ROLV052206_1_avrpm17_cds
5,ROLV052209_1_avrpm17_cds
5,TRSA062307_1_avrpm17_cds
6,CHST042201_2_avrpm17_cds
6,DEBD052318_1_avrpm17_cds
6,ESAN032201_1_avrpm17_cds
6,ESAN032203_1_avrpm17_cds
6,ESAN032208_2_avrpm17_cds
6,ESAN032210_2_avrpm17_cds
6,ESAN032212_1_avrpm17_cds
6,ESAN032214_2_avrpm17_cds
6,ESAN032215_1_avrpm17_cds
6,ESAN032216_2_avrpm17_cds
6,ESAN042303_2_avrpm17_cds
6,ESAN042310_2_avrpm17_cds
