"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"FRBE052204",-431.366469106072,-168.540519290523,87.0463472449584,30.0419484042421,77.8892240342357,-51.8864566104675,-50.6300878855551,63.8683243107609,-20.5128780536828,59.9107279264249
"FRCL052201",-354.622707861042,-126.74036448237,114.638207439952,12.7454205955464,60.6919372464943,-23.0900816142756,-40.5640242166722,81.4884181983735,-5.58868336219279,28.9158931779751
"FRCL052202",-354.622707861042,-126.74036448237,114.638207439952,12.7454205955464,60.6919372464942,-23.0900816142756,-40.5640242166722,81.4884181983734,-5.58868336219271,28.9158931779752
"FRCL052301",-354.622707861042,-126.74036448237,114.638207439952,12.7454205955464,60.6919372464943,-23.0900816142756,-40.5640242166722,81.4884181983736,-5.58868336219276,28.9158931779751
"FRCL052302",-354.622707861042,-126.74036448237,114.638207439952,12.7454205955464,60.6919372464942,-23.0900816142756,-40.5640242166722,81.4884181983735,-5.58868336219269,28.9158931779751
"FRCO042201",-535.282328312111,-135.339247638095,40.1192533157496,-5.7869779511611,51.7031022216986,-50.7549198134485,-42.8760429533953,46.6580012669638,-22.9568376877171,3.94524695517075
"FRCO042202",-535.282328312111,-135.339247638095,40.1192533157496,-5.78697795116108,51.7031022216986,-50.7549198134485,-42.8760429533953,46.6580012669639,-22.9568376877173,3.94524695517075
"FRCO042203",-535.282328312111,-135.339247638095,40.1192533157496,-5.78697795116103,51.7031022216986,-50.7549198134486,-42.8760429533952,46.6580012669637,-22.9568376877173,3.94524695517087
"FRCO042204",-535.282328312111,-135.339247638095,40.1192533157495,-5.78697795116103,51.7031022216987,-50.7549198134485,-42.8760429533952,46.6580012669638,-22.9568376877171,3.94524695517078
"FRLO052301",-534.912594327064,-115.789667784267,43.0085235594275,-27.8107295047783,34.4694523712376,-30.3355453065993,-53.5246162378568,25.003936513553,-35.9377146566536,37.9676589623684
"FRLO052302",-534.912594327064,-115.789667784267,43.0085235594275,-27.8107295047783,34.4694523712376,-30.3355453065994,-53.5246162378569,25.003936513553,-35.9377146566535,37.9676589623684
