"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"NCSU_TR_05_03",24.242126429595,3.45005179236575,5.8935376314634,48.3662186497297,-8.05172642746072,-20.2634744271742,4.18836752691739,35.5592850708403,25.4169089742132,131.725743550071,"SRR19456398","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey2","Turkey3",1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,"1_2_1"
"NCSU_TR_05_04",103.27514653678,-37.3902588637118,174.489425768169,-60.0483118609902,-2.83384380737229,26.7887900944241,-55.7526504674918,11.4120763695485,6.30488761247651,4.33631428873333,"SRR19456493","Asia","Turkey","Adana","tritici","NCSU",36.95,35.38,"2017","","","Included","Included","Included","S_Europe_ME","ME","TR_ISR","Turkey1","Turkey1","Turkey1","Turkey_admx","Turkey2",1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,"1_1_3"
"NCSU_TR_05_05",28.4465464087126,4.15882144948102,5.40554528204674,60.9342062802114,-18.6888593719565,-18.1498036370435,-21.2898891681274,47.7161587072522,-18.5043451498185,-40.0223423715304,"SRR19456397","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey3","Turkey7",1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,"1_2_1"
"NCSU_TR_05_06",31.8000098208212,3.86982687595415,2.93090387170935,55.6637983076495,-14.0960818480304,-13.5015463610867,-20.8956550091092,41.1128259414887,-19.8826583751737,-45.2608016270647,"SRR19456396","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey3","Turkey7",1e-05,1e-05,0.008165,1e-05,0.964334,1e-05,0.027461,"1_2_1"
"NCSU_TR_05_07",-10.078804690983,1.09136546504725,6.68613550214045,75.0196629695575,103.875398695418,127.213325235552,7.03579839738053,0.515610818708451,1.3066928250942,-0.558088661672832,"SRR19456415","Asia","Turkey","Izmir Menemen","tritici","NCSU",38.6,27.05,"2018","","","Included","Included","Included","N_Europe","N_Europe","N_Europe","Turkey2","Turkey3","Turkey4","Turkey5","Turkey10",0.425992,1e-05,0.000195,1e-05,0.573774,1e-05,1e-05,"1_1_3"
"NCSU_TR_05_15",31.6618347742481,-0.41363647838221,11.6644487745576,67.2797268931063,-13.0868865529691,-25.6473037518559,-54.3334852504622,-111.687373688169,3.37033531519527,-12.8202505679904,"SRR19456571","Asia","Turkey","Sakarya Adapazari","tritici","NCSU",40.81,30.4,"2018","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey2","Turkey5",1e-05,1e-05,0.000786,1e-05,0.999164,1e-05,1e-05,"1_1_3"
"NCSU_TR_05_20",28.4919404592167,1.67510789119532,7.89251896360456,48.4581399800043,-11.476462524706,-25.5961138893552,3.1938469784479,34.4084277173101,17.1434639264328,113.189562387994,"SRR19456607","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey2","Turkey3",0.015513,1e-05,0.00709,1e-05,0.977358,1e-05,1e-05,"1_2_1"
"NCSU_TR_05_22",18.6505088734255,-0.00718651768102116,5.26549060606365,47.2286100720699,-13.1244307140709,-22.1344547112624,-18.2544067073089,42.8456293487254,3.62138264004568,-6.39645274567344,"SRR19456606","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey3","Turkey6",0.074746,1e-05,1e-05,1e-05,0.925204,1e-05,1e-05,"1_1_3"
"NCSU_TR_06_05",13.3955303813837,2.3642169089132,3.80855948405565,35.2378633405936,-9.98843022606119,-5.68234027700241,-11.6220793004278,1.50424137259997,4.73208520036818,-2.31758468589976,"SRR19456582","Asia","Turkey","Edirne","tritici","NCSU",41.65,26.54,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS",0.233833,1e-05,1e-05,1e-05,0.766117,1e-05,1e-05,"1_1_3"
"NCSU_TR_06_10",-23.0449951317498,0.405026303786682,7.50058513753026,69.0845578039141,105.909781840643,120.68114409969,8.19276839670137,4.53017446272263,-6.23094596539462,-7.65194453877092,"SRR19456414","Asia","Turkey","Izmir Menemen","tritici","NCSU",38.6,27.05,"2018","","","Included","Included","Included","N_Europe","N_Europe","N_Europe","Turkey2","Turkey3","Turkey4","Turkey5","Turkey10",0.472772,1e-05,1e-05,1e-05,0.527178,1e-05,1e-05,"1_1_3"
